Seismic Zone,PGA (m/s²),PGV (m/s),PGD (m),Spectral Acceleration (g),Soil Type,Site Amplification Factor,Historical Earthquake Magnitude (Mw),Fault Distance (km),Seismic Wave Frequency (Hz),Building Height (m),Number of Stories,Structural Material,Foundation Type,Natural Frequency (Hz),Damping Ratio (%),Mass of Structure (kg),Axial Stiffness (kN/m),Bending Stiffness (kN·m²),Lateral Load Resisting System,Predicted Max Inter-Story Drift Ratio (%),Predicted Max Roof Displacement (m),Predicted Base Shear Force (kN),Predicted Structural Acceleration (m/s²),Predicted Damage Index (0–1 Scale),Predicted Collapse Probability (%)
Moderate,0.44349324,0.781381006,0.350847696,1.041968777,Clay,0.901352173,8.086263768,92.86548592,8.619063717,26.56433707,16,Steel,Deep,1.022194662,6.890139035,158605.9682,2050.609816,40551.02455,Braced Frame,0.604267539,1.547610782,3126.083247,2.195048411,0.823112891,82.31128909
Very High,0.180825023,1.831544461,0.20595504,0.396647427,Clay,1.996531427,7.156917464,45.95556274,4.790225522,127.4078834,29,Steel,Deep,4.834484635,5.747681578,889570.6019,8387.70376,28483.78855,Braced Frame,0.138261161,0.983099813,938.0658425,0.713133156,0.341289583,34.12895834
High,0.647446017,0.139774824,0.252814007,0.743795704,Soft Soil,1.54481886,4.936127972,73.71421699,8.015828577,41.4155255,44,Composite,Raft,2.729422716,3.061012831,239373.5075,3583.701019,46873.38551,Braced Frame,0.370240508,0.626846553,1094.515483,4.575519356,0.764626891,76.4626891
High,0.427884719,0.699968987,0.004669169,1.533346271,Soft Soil,1.841556854,6.966096738,37.35020763,5.848135629,104.4921071,11,Composite,Raft,2.85708221,2.80970369,831271.5383,4481.054787,40706.29287,Braced Frame,1.043356041,0.331737919,81.56698672,3.722852265,0.637675357,63.76753575
High,0.407375493,0.208074656,0.346168337,1.195162127,Sand,2.148974794,7.662322347,2.869206979,7.753592402,108.1751372,6,Concrete,Raft,4.554875422,9.165223622,442561.5436,6983.525601,8655.767159,Moment Frame,2.337358716,1.226215092,3567.816965,1.88832409,0.957916087,95.79160868
Very High,1.443807924,1.556401901,0.331009997,1.206231453,Clay,2.711362411,8.067165326,10.95250551,3.393462567,175.8596556,3,Steel,Shallow,3.198009177,3.375700631,63576.23154,3857.284357,20058.9658,Moment Frame,0.202870947,1.335859992,2453.77771,1.568360927,0.424785167,42.47851667
Moderate,0.96282068,1.434004163,0.020162038,1.573596526,Clay,2.256183468,7.331029104,50.12572847,8.331024557,95.18638343,14,Composite,Raft,1.653101011,3.528795105,745906.1878,6472.364304,33755.78594,Moment Frame,0.864089532,1.342498461,4752.321369,3.478936465,0.992309728,99.23097279
Moderate,0.87962982,0.729569216,0.184756804,1.619754198,Rock,1.754907511,5.18696174,69.30647136,2.818265924,59.49127234,2,Composite,Pile,1.621254161,4.716576065,616541.7703,8910.185749,46981.89555,Shear Wall,3.929078559,0.448371847,3584.363366,2.178682518,0.74039403,74.039403
Very High,0.682085145,1.383759514,0.489536889,1.663647372,Soft Soil,2.602741278,7.6957797,34.13879733,5.506378199,50.0384379,32,Steel,Pile,2.60757752,2.254944944,376963.289,8075.046053,49398.07757,Moment Frame,3.834616135,1.19472343,560.6056708,1.223749202,0.776277755,77.6277755
High,0.700522067,0.85228073,0.210947545,0.261243629,Clay,2.792280703,7.548038307,69.85335746,2.21867042,175.479116,31,Composite,Deep,4.359719499,5.5654556,317468.6372,4125.305202,38396.13546,Moment Frame,3.969678429,1.811758865,849.6302267,2.20773869,0.02570486,2.570486011
High,0.857267005,1.536882204,0.251470757,1.025014203,Sand,1.063471926,4.609920973,70.16492335,4.807712564,38.34711661,11,Concrete,Raft,4.014700836,6.985285855,120006.6898,3235.39727,29114.69597,Moment Frame,4.615550622,0.712843326,2533.537002,4.369355218,0.497398351,49.73983513
Moderate,1.07500173,0.962948959,0.455055149,1.358866186,Sand,1.970252551,6.352864504,70.68965483,3.249934574,88.04436937,22,Steel,Pile,4.821154813,8.074004429,944354.3151,3212.349263,38073.8748,Braced Frame,0.683447904,0.429426196,4628.127135,0.436172519,0.528336712,52.83367123
High,1.083004535,0.883331483,0.358913676,1.386775637,Soft Soil,1.425926311,5.998276111,49.75966355,2.740363963,41.49875741,3,Concrete,Deep,0.54505339,7.403088177,519285.6405,3811.615929,14388.58455,Moment Frame,0.899385394,1.546577537,1273.892895,1.904955412,0.040600102,4.060010192
Low,0.340371471,1.875986839,0.291452995,1.131417543,Sand,0.903534635,7.512354289,91.57372886,9.673151678,155.7942878,31,Concrete,Raft,1.487965131,2.328723677,131248.2917,5188.411374,14896.54834,Shear Wall,1.734412712,0.361997051,4136.621999,4.815463173,0.312131223,31.21312235
Moderate,0.800157853,0.57667029,0.399104536,0.38353847,Sand,2.270802729,5.472611155,49.43045528,1.684733644,97.5026648,33,Concrete,Shallow,0.584996998,5.104604305,875245.7319,4457.676067,33063.11796,Braced Frame,4.584191875,0.514959954,1595.74848,0.172676028,0.955644181,95.56441806
High,0.676741333,0.328849946,0.432318767,1.455614942,Soft Soil,2.69809571,7.158923653,45.57625416,7.894525791,73.47301966,24,Concrete,Pile,3.805180131,1.347275807,314891.5142,1763.538199,43719.94324,Shear Wall,3.899840941,0.210282345,1385.991088,4.464137556,0.426111436,42.61114364
Moderate,1.318737753,1.210631915,0.228987148,1.324189267,Clay,1.15838584,8.609426828,20.73870108,9.843233099,75.41442992,1,Steel,Shallow,0.876001708,1.16018197,243422.5799,2052.830654,48520.66497,Moment Frame,1.688194234,0.543069889,4511.894109,1.936685123,0.186701985,18.67019846
Low,0.98398649,1.941711443,0.238079074,0.246430812,Clay,2.587310047,8.090110675,31.45785365,0.297024689,171.1817703,44,Concrete,Raft,0.679454326,4.961173764,316890.5664,3757.831289,17725.39544,Braced Frame,0.529415507,0.826566782,283.8458808,1.028639202,0.513338707,51.3338707
Moderate,0.845505693,0.817894506,0.193639417,0.888476702,Sand,2.677470614,8.646559813,5.191114759,7.020371399,112.9859211,15,Concrete,Pile,2.896026594,3.27664445,586342.8857,5839.608951,40031.12753,Shear Wall,3.120262128,0.137674145,3320.668142,0.173400763,0.033765577,3.376557722
Moderate,0.261552499,0.217869851,0.483386364,0.395761579,Sand,2.811548974,8.903276851,63.71999407,2.603826875,144.984231,37,Composite,Raft,2.175126618,7.150247154,120353.6603,6130.307526,42725.00946,Moment Frame,1.358413912,1.744700733,263.6791957,0.445561727,0.5159887,51.59887
Moderate,0.947893045,0.744680008,0.348885961,0.673710978,Clay,1.383627196,4.548015572,25.60503865,0.500829461,179.9225107,27,Steel,Shallow,3.632486426,7.518167081,507669.0637,5118.967117,31535.48891,Shear Wall,2.702647573,1.032212837,4013.780744,0.942032485,0.594268306,59.4268306
Moderate,0.264085468,1.061270143,0.04252831,0.130737857,Soft Soil,2.788696743,7.302335744,31.11137019,4.088606832,180.8396268,38,Steel,Pile,2.53767388,9.058633521,900956.2729,7518.370871,18032.00223,Shear Wall,4.714836462,1.180326227,4155.551557,0.224505268,0.357694363,35.76943626
Low,0.572089206,0.407653713,0.431616852,0.780560776,Sand,1.50545806,6.35777729,77.31063764,9.358656321,69.0592656,48,Masonry,Shallow,2.241606061,7.846142622,228763.0161,7503.863493,31335.3397,Shear Wall,2.905824502,0.748858655,4472.115045,1.745664354,0.762576198,76.25761981
Very High,0.299978751,1.350394214,0.24079941,1.034790766,Rock,2.01514363,8.369345207,33.39489713,0.216474434,190.7279963,27,Steel,Raft,2.242402154,1.434197108,364629.3335,4562.460981,29637.99631,Moment Frame,4.626788738,1.342972107,971.1458049,0.31997626,0.135714077,13.5714077
Moderate,1.068903106,1.995723839,0.035308199,1.153290408,Soft Soil,0.911116436,5.633166159,24.97739331,5.92006835,9.850796993,44,Steel,Raft,4.385006626,4.344607093,426315.8668,1682.187702,30719.74978,Moment Frame,2.025890051,0.869245654,666.2658718,3.491858703,0.87818341,87.81834099
Moderate,0.388752959,0.958305004,0.27530891,1.227933587,Sand,0.896538394,8.914632701,17.73671716,5.063825138,78.4829344,12,Masonry,Shallow,2.097083123,3.457210166,606909.676,5536.660313,31343.75048,Shear Wall,3.203421553,1.525014411,2542.49848,4.112644856,0.95544491,95.54449104
High,0.648603122,0.773984258,0.209164975,1.521695232,Sand,2.384821068,7.261685863,77.71098182,8.746503227,179.6807772,3,Steel,Pile,1.800306213,4.475192048,923291.5342,4123.956108,42505.85135,Braced Frame,4.480060872,1.644590266,1394.581477,4.448573225,0.001234525,0.12345246
Moderate,1.353944689,0.861337917,0.438996953,0.466286942,Rock,1.777855952,8.07091831,13.84091954,0.931616974,58.55419156,30,Steel,Shallow,1.82496837,2.440680931,424812.2478,1810.268403,9333.99415,Braced Frame,2.981137827,1.346979733,3051.172488,2.790728087,0.84272166,84.272166
High,0.386042937,0.318777739,0.102793307,0.304819098,Rock,1.363843226,4.885197988,45.92162226,6.847107696,58.25088281,32,Steel,Raft,1.143683825,1.879336933,115695.1986,9827.263495,18997.40343,Moment Frame,3.113003517,0.987757882,2593.049088,4.737896752,0.506105149,50.61051489
Very High,0.81092709,1.778219843,0.41340584,1.547613192,Clay,1.218909691,5.325560481,51.18608149,6.833086014,64.01134559,23,Steel,Shallow,4.331306483,5.688860883,380553.3184,4012.676198,29714.08464,Moment Frame,3.609909112,1.566716008,767.0179456,0.127662708,0.461405634,46.14056338
Low,0.686980326,0.888168745,0.279286657,0.366241785,Soft Soil,2.27389768,7.912816529,69.05160136,6.723892167,124.40111,2,Masonry,Raft,0.903827912,7.483431798,230581.142,6445.079476,14883.05919,Moment Frame,4.42232801,0.99362777,3709.388945,0.756689779,0.238679107,23.86791069
Low,0.125373657,0.835821382,0.028250541,1.757092138,Soft Soil,0.800883397,4.598939349,63.69506475,9.4291115,90.47489124,7,Steel,Shallow,4.561331541,7.317198117,669185.7549,5156.224183,48929.50298,Moment Frame,0.5320823,0.23190471,4028.732674,1.536513306,0.447325041,44.73250411
Very High,1.209861359,1.353411519,0.485950805,1.53231499,Clay,2.572960572,8.175950937,81.26134662,8.248566537,146.7132931,34,Steel,Pile,1.560645065,5.0584989,77799.00371,1856.868653,13894.36272,Moment Frame,1.750610973,0.241517044,4817.062961,3.966219766,0.95042715,95.04271496
Low,0.196664269,0.9398635,0.256795007,0.95149023,Soft Soil,0.974349133,4.562770584,5.430391959,0.51552999,179.5075753,32,Masonry,Pile,4.517248746,5.700510877,327333.4725,1027.664422,24011.81515,Braced Frame,2.048655158,1.897680448,2007.917438,4.438406787,0.210787634,21.0787634
Very High,0.763957029,1.331643591,0.14614755,1.768416422,Soft Soil,1.221277153,7.457034776,30.34763175,4.763720222,136.4688781,39,Composite,Shallow,3.995939153,5.646958503,567914.8319,6444.809443,43990.88724,Moment Frame,4.55757736,0.434990387,1721.787931,3.128858811,0.179041238,17.90412385
Very High,0.884949613,0.216747951,0.235234014,0.265540439,Soft Soil,1.64972007,6.142922641,28.73327776,4.039735256,44.87101044,32,Concrete,Shallow,2.993540101,7.2241334,313467.4957,2846.707768,4923.11947,Shear Wall,4.78443883,1.633690732,1001.700147,1.977858088,0.241896304,24.18963041
Very High,0.979797039,1.646074353,0.429071034,0.615211794,Soft Soil,1.866689227,7.251726837,15.45567365,3.170457489,186.872971,43,Composite,Pile,3.413456019,1.431326584,573445.5192,2814.712996,41213.7121,Shear Wall,0.689864277,0.50094376,945.2820233,3.362643458,0.551834194,55.18341943
Low,1.064084281,1.88695751,0.153146659,1.184981506,Soft Soil,1.580989255,7.632141331,29.62864713,4.568233579,56.5761103,43,Masonry,Raft,1.764051636,7.38906498,158976.7061,9591.273802,28979.41008,Braced Frame,0.683627631,0.867252387,1639.213763,0.986406923,0.930299815,93.02998154
High,0.454581337,1.332654234,0.097145522,0.695011676,Rock,1.505566763,6.041138486,31.6667661,3.903522431,34.22938759,14,Concrete,Pile,2.956297349,6.239808107,945665.2136,4886.846391,2558.3,Shear Wall,4.680822792,1.313346743,4909.992677,2.343582856,0.573881591,57.38815908
Very High,0.113970287,1.913675265,0.065406552,1.678233338,Soft Soil,2.920615227,4.985831016,52.66656173,4.380105609,22.54361938,3,Masonry,Raft,1.603533923,2.782978432,326361.467,779.5476318,45242.73171,Braced Frame,1.549282317,0.326145674,506.6804399,2.586966082,0.243482477,24.34824766
Moderate,1.112821127,0.387721397,0.14963184,0.21156435,Rock,2.211475299,4.813406405,66.70674341,9.79469247,114.8598294,46,Masonry,Shallow,2.130909507,1.441529684,926850.7974,3728.505794,2920.644937,Braced Frame,1.284890653,1.477120512,1333.8627,0.613868983,0.440452315,44.04523153
Low,0.849919239,1.00709076,0.390243995,1.034000115,Soft Soil,0.851552502,7.150212102,38.72895085,0.97746645,27.18368018,32,Steel,Shallow,3.870380265,1.976750115,359543.6675,6052.669651,26245.67202,Shear Wall,0.274552042,1.382926815,475.5930645,0.265976035,0.390400132,39.04001318
Very High,1.270564784,1.243432794,0.236341556,1.104472655,Clay,1.746386999,6.842949092,72.2275529,9.230085611,32.0612974,43,Concrete,Raft,1.370876306,5.722222073,792748.1816,3621.390476,3402.531072,Moment Frame,1.45042008,1.090734949,1404.475394,3.775516937,0.04656947,4.656946986
Very High,1.249943708,1.20529963,0.11451332,1.20963781,Sand,2.725019139,7.839904541,34.28036852,4.854343463,63.50594372,36,Steel,Shallow,4.226460876,7.825676771,283877.9896,755.0935633,4488.804825,Shear Wall,3.498279493,1.136120615,507.387091,2.72006116,0.510641849,51.06418485
Moderate,1.280656635,0.86277738,0.083926315,0.53463258,Rock,1.46320361,6.793809795,29.73808405,6.27504823,59.92233689,17,Concrete,Raft,2.004237698,4.011915584,686280.4573,4720.957022,44473.0114,Shear Wall,2.187577197,0.220485869,2566.12889,1.727969639,0.126006387,12.60063866
High,0.779132524,0.742360378,0.167032009,0.719762927,Soft Soil,1.008023959,6.401006055,54.57761753,8.31881137,122.8267045,48,Masonry,Deep,2.754415812,4.412115196,357530.4031,1506.110194,38525.4518,Braced Frame,2.632664723,0.877538809,2219.860485,2.242420295,0.842244042,84.22440421
High,0.567079754,0.340965643,0.470022262,1.5342569,Clay,2.468446497,6.291392302,3.34791967,3.668583989,164.2653295,3,Masonry,Pile,4.72141034,9.407317735,533701.1727,6382.020234,10650.11749,Shear Wall,4.594748423,0.182277077,911.5491354,4.792746725,0.548962909,54.89629093
High,1.208181484,0.844310656,0.17217033,0.431402707,Sand,2.13323043,4.619011062,8.89912324,4.36117689,153.463183,10,Composite,Deep,3.470027025,2.917117756,690123.4385,6386.077452,31402.93069,Braced Frame,0.661979935,0.622647949,915.2990742,1.986077482,0.844606483,84.46064826
Very High,0.731811758,0.409055549,0.494073914,1.50567534,Rock,2.054687517,6.010007408,42.37898482,4.154232955,56.18446867,47,Concrete,Raft,3.298899742,1.933744821,609438.3799,858.7118262,39939.29885,Moment Frame,0.449079505,1.801621161,3149.239915,0.607048211,0.956044687,95.60446874
Very High,0.356819075,1.495294785,0.243129997,1.056514219,Sand,0.917868431,8.892090709,94.34835843,3.809837123,52.83554711,40,Steel,Pile,3.615717093,4.090691024,597466.5636,3261.329485,44589.94143,Moment Frame,4.274460671,1.153321467,1966.250628,2.37165068,0.943188291,94.31882908
Very High,1.296963627,0.496778777,0.090402795,1.395718769,Clay,1.109097822,8.431000093,72.4296662,9.262740284,193.3293484,18,Composite,Raft,4.606934426,7.713299075,112396.7939,4430.019506,23947.03942,Moment Frame,3.896793407,1.487979842,328.1649368,3.27543703,0.100429334,10.04293343
Low,1.335583827,0.21127408,0.445678906,1.313132523,Rock,2.169608672,5.982201302,9.724530381,8.306405923,6.60606711,3,Composite,Pile,1.392865804,6.63469562,286622.9906,5727.50893,44977.49399,Shear Wall,1.392297516,1.152032876,4604.953369,0.159354269,0.944817072,94.48170716
Moderate,0.752833659,1.149495662,0.230717331,0.452769542,Sand,1.257212451,7.145079323,84.78548327,1.1790999,176.5455039,39,Composite,Pile,3.143557788,4.742158954,593247.3254,3312.602582,25884.65356,Braced Frame,1.688747219,0.396531148,2054.514805,1.728468744,0.795747208,79.57472078
Very High,0.205979618,1.230936492,0.355126,1.066981652,Soft Soil,1.908954175,8.312835355,73.49777629,1.17042119,43.94706123,10,Steel,Pile,2.121890501,9.682772795,67401.34685,3233.591869,34723.17407,Moment Frame,1.620361395,1.193668548,2975.685397,2.028220659,0.777658105,77.76581053
Moderate,0.642956526,1.756634816,0.49187208,1.57512936,Rock,1.998739709,6.485734515,61.48370604,4.335908197,189.720443,9,Composite,Pile,0.256905407,7.614967945,288112.0424,9838.643984,48972.43861,Braced Frame,3.27426311,1.513222274,4432.789152,2.372202744,0.09012854,9.012854027
Moderate,1.224952723,1.196265064,0.0260375,0.834597603,Sand,1.423715819,4.580810387,82.2090031,1.07670803,71.74992054,46,Steel,Raft,0.801444303,1.556752819,267725.9775,897.6965593,12561.63767,Braced Frame,0.399936384,0.285425956,2040.687037,1.578252549,0.179514702,17.95147023
High,1.36248364,0.756413622,0.049250585,1.743204309,Clay,2.886535342,4.835297078,41.00687493,6.229021643,90.86859591,46,Composite,Pile,1.759961097,7.701682995,287363.3047,9895.931434,9257.542528,Moment Frame,2.498067768,1.635644353,4112.267195,3.367919066,0.97516338,97.51633799
Low,0.384861839,1.625722575,0.360507914,0.86876567,Clay,2.653421035,6.796767246,22.92860403,1.522546912,142.8885197,11,Steel,Pile,2.911999862,1.216347003,558829.0246,953.6434402,17758.92242,Moment Frame,0.755977549,1.115230436,4578.023512,4.729075196,0.213370157,21.33701572
Very High,0.193763057,1.126529897,0.141630677,0.342735582,Rock,2.389221717,8.862477191,51.69031552,5.271495313,119.595465,33,Masonry,Deep,4.431078928,6.852909908,602862.3363,3239.243564,9055.552113,Braced Frame,4.116718851,0.018507652,911.6335491,4.578591063,0.16905333,16.90533302
High,1.328290634,0.250632541,0.092966397,0.762038956,Sand,0.971586506,7.61944294,55.3353338,0.171477475,66.99816929,36,Masonry,Shallow,3.997347767,2.894345527,913548.0947,5190.063122,14923.97748,Moment Frame,1.965248721,1.044359188,4467.837677,3.355527733,0.362351619,36.23516187
High,0.645166915,1.175116065,0.020641578,1.717894091,Rock,1.033486042,4.819122861,54.29431083,3.234303849,112.9970286,26,Masonry,Shallow,2.856001628,7.267979881,416729.4966,1861.334259,37406.28085,Braced Frame,2.685103747,0.797386269,643.1706112,2.583731924,0.913356198,91.33561975
Very High,0.85846535,1.825235236,0.011901509,0.643525444,Rock,1.884118961,5.352123941,56.94230536,6.804188164,147.4878425,27,Masonry,Deep,0.554578006,3.7880161,930249.9713,1781.040444,24398.67776,Braced Frame,0.243656283,0.599928557,1411.880676,4.14649412,0.476193464,47.61934636
Moderate,1.455292137,0.852993988,0.387468316,1.575766872,Sand,1.153569368,7.970954144,94.92178691,4.891985508,13.25531445,38,Masonry,Deep,1.572350194,8.857056772,669356.6277,2934.970776,19377.02343,Moment Frame,0.385495136,1.544801868,4050.646666,4.196092221,0.920583719,92.05837191
High,0.193190619,0.663019024,0.06808228,1.598126159,Sand,2.95218402,8.28647892,90.32231669,9.784867911,7.183864525,22,Composite,Raft,1.96020151,4.032224529,917027.3761,9748.318244,19067.47626,Shear Wall,3.407768671,1.800004768,4508.388514,4.164907959,0.33433878,33.43387804
Moderate,1.00764521,0.372591968,0.234392587,0.695317091,Soft Soil,1.148744515,7.279625638,87.69598662,8.753627581,94.32305312,26,Composite,Raft,3.184242489,6.577262699,841798.4966,4111.110159,10531.96877,Moment Frame,3.857175671,1.527679648,3436.487002,0.873445096,0.226528645,22.65286452
Low,0.203747592,0.387746492,0.303342511,0.241538019,Sand,1.872429238,7.399904263,80.34026428,3.654800713,30.70814047,22,Composite,Raft,0.51163339,3.573348037,703203.3212,5876.950964,22923.16126,Shear Wall,3.579174365,1.695077437,568.8879551,0.224618473,0.495203009,49.52030089
Moderate,0.6256565,0.92226582,0.214747548,1.331748446,Clay,1.601066325,4.627518527,94.39938262,0.550316761,134.5471368,5,Steel,Deep,2.744929062,9.254993906,388300.6045,7190.768323,31607.14238,Braced Frame,3.711391319,1.818474077,2638.811771,4.917647708,0.61547689,61.54768903
Low,1.225340363,1.231791666,0.01452622,0.629570908,Rock,2.206650127,8.228386168,10.75096953,8.471700371,46.74022896,35,Steel,Deep,4.527029965,8.028963829,279054.9253,7551.107437,7818.586891,Braced Frame,0.612637268,1.82613233,2884.53884,4.802305559,0.391498999,39.14989986
Moderate,0.706861126,0.25316927,0.39196725,1.430970144,Rock,1.0838801,8.047238437,27.24720288,9.121219672,89.40596583,2,Steel,Pile,3.586076939,3.189725887,261271.8637,7036.38918,48667.83021,Shear Wall,3.497909121,0.238129905,1445.205664,2.865454458,0.34603051,34.60305096
High,1.496055295,1.885180319,0.006246099,0.852513242,Clay,1.746696142,5.665658148,50.01053862,8.224211195,43.54583269,35,Steel,Raft,4.025968672,9.539170413,954565.1456,3700.817835,22720.77764,Braced Frame,0.990563155,0.918207123,4956.914244,4.966012212,0.218059285,21.80592848
High,0.882682999,1.534753873,0.381183057,0.924953462,Sand,1.404351072,7.68904524,84.80691482,1.366704415,111.9542992,9,Masonry,Raft,3.472043112,4.214418306,960645.151,1561.41436,47450.08492,Shear Wall,0.580275616,0.010570084,1711.358386,3.875680519,0.275006766,27.50067662
Low,0.549627014,1.214585445,0.446758942,1.422445991,Clay,2.753053354,5.466845729,51.01140544,9.979359831,27.63042458,49,Masonry,Raft,1.191627738,6.866784529,738589.8048,3176.306516,7598.287405,Shear Wall,3.810088069,1.017860544,1090.761108,2.635162899,0.673117963,67.31179632
Very High,0.408155856,1.674033475,0.216987121,0.750017663,Clay,0.889288567,4.681485725,75.05543919,2.659983793,9.505836294,18,Masonry,Shallow,0.730322336,7.68567908,889606.1849,2497.804654,38593.58171,Braced Frame,4.458089974,1.849245429,595.1733418,2.007722229,0.369873539,36.98735386
Low,0.590728748,0.252354838,0.268235694,0.853316487,Soft Soil,2.810200487,5.405114442,14.75703062,7.269628637,14.97066943,43,Concrete,Pile,4.18155523,1.206119453,923046.3549,1794.634396,31264.26448,Shear Wall,3.611878546,0.406213558,1923.581241,3.005029727,0.079757042,7.975704172
Low,0.621546583,1.005993868,0.239014713,0.739523797,Clay,2.632587105,5.303829945,25.98896748,9.089545276,191.0803961,12,Composite,Raft,3.538421293,9.630706115,535978.3867,732.7189516,41183.14186,Moment Frame,4.047309919,1.283175391,3478.462524,2.627430298,0.13815539,13.815539
Moderate,0.196199149,1.297176941,0.195215101,0.724478876,Rock,1.454655576,6.019865985,73.44583341,2.433302432,32.74581263,3,Steel,Raft,2.960295482,4.099971755,647606.7061,9389.395566,30433.21822,Moment Frame,4.95633196,1.292314302,1195.514612,4.969632381,0.372379188,37.23791884
Moderate,0.617403879,1.674440522,0.443824843,0.994109181,Clay,2.53643944,6.383022737,17.30866688,9.091759691,143.1532594,18,Steel,Raft,1.108557752,2.708010041,447816.773,9249.826672,48178.99503,Braced Frame,0.760303966,0.32910443,3859.243876,2.503255548,0.92450243,92.45024298
Low,0.749933928,1.588592164,0.447072822,1.474959056,Rock,0.868669833,6.788425012,35.78423753,3.163867634,18.24560982,38,Masonry,Shallow,3.096055833,8.656370126,447566.2261,978.9615535,31719.65972,Braced Frame,4.829247507,0.484669604,720.2362752,4.196013322,0.379030262,37.90302616
High,1.111832853,0.626431574,0.168572366,0.71500613,Rock,2.927104211,6.64539244,27.22175952,9.766490902,26.09126869,7,Steel,Shallow,0.350344569,7.326093545,86507.47271,2144.303442,39445.60214,Shear Wall,3.045869247,0.92942335,2230.316258,4.086756733,0.060642077,6.064207745
Moderate,1.019421279,1.887672322,0.307919807,0.991233025,Rock,1.958508874,5.718035727,35.63630773,2.884474202,104.230869,33,Steel,Deep,0.770427845,1.780689454,462130.3875,1825.254479,44001.50685,Shear Wall,4.084940471,0.384536659,3526.750014,0.44989074,0.417994258,41.79942579
Very High,1.092271917,0.336257099,0.463526874,1.240236453,Sand,1.467218257,4.631268009,71.12408086,9.539014665,95.64983138,6,Composite,Pile,1.697072719,2.053401232,689815.3209,3171.617877,36014.59009,Shear Wall,3.28582899,1.174138017,719.7815433,0.52633316,0.668817594,66.8817594
Moderate,0.111709155,1.762753875,0.481067191,0.558047059,Soft Soil,1.597683068,7.2229573,37.41687093,0.630092044,190.5581603,18,Masonry,Deep,2.329943732,7.436726836,450883.0578,2438.65427,26687.59617,Shear Wall,2.893185165,0.974238045,3009.318939,3.333069563,0.593596135,59.35961349
Moderate,0.404734359,1.944786474,0.254970561,0.571788768,Rock,0.946091778,6.280851734,55.97106894,7.121792916,189.2429133,45,Composite,Pile,0.77870958,1.673049304,878789.193,9485.608605,14368.03686,Moment Frame,3.547733071,1.043204375,4004.814936,1.369629233,0.278802962,27.88029624
Very High,1.026358004,0.436591694,0.226959578,1.686802316,Rock,2.976568931,5.844024708,10.89325583,5.367900225,157.0236853,22,Concrete,Shallow,0.775712883,9.254578916,365934.8048,1299.619147,42870.13806,Moment Frame,1.669267456,0.27759043,2997.967037,3.32188247,0.688088923,68.8088923
Low,0.777585115,1.471925522,0.140068464,1.330008775,Sand,0.886442279,8.401234693,80.69675163,4.830983064,122.4098569,39,Concrete,Raft,3.684289571,7.673861233,176047.9442,2510.872857,24548.33438,Braced Frame,4.628930465,1.039331133,2581.746425,0.808666882,0.630624374,63.06243739
Very High,0.107438866,0.176542486,0.479477065,1.08121735,Rock,2.240795671,7.860344885,37.61897394,2.312593711,93.71726189,9,Concrete,Deep,2.934653151,4.019429854,820980.7562,1266.871394,31414.70309,Shear Wall,0.664933603,0.1084616,4199.582788,2.045634313,0.172172969,17.21729688
Low,1.226292499,0.870303368,0.072264338,1.201124093,Clay,1.774019041,8.359944968,65.20488174,7.085398319,74.45481419,35,Masonry,Raft,2.761961508,4.266449013,690250.5224,9813.660812,4882.100356,Shear Wall,1.658352802,1.764255243,4927.830733,0.602104305,0.162145004,16.21450036
Low,1.181933403,1.080938268,0.290334958,0.149809053,Clay,2.88761568,6.727422576,72.81357056,1.989013965,189.6820717,23,Steel,Deep,2.371685577,5.558464866,279728.5082,9224.928336,25370.21483,Braced Frame,0.252695531,0.693066885,947.4991142,1.482256076,0.547183082,54.71830821
Low,0.867786828,1.203225929,0.141992583,1.150775041,Soft Soil,1.341199429,5.089190635,21.75643129,5.57313378,122.5672182,12,Masonry,Shallow,4.88740691,4.248724723,559628.6932,7308.000103,35209.72456,Shear Wall,1.429482933,1.714111276,3472.16439,0.532663092,0.659438561,65.94385611
Very High,0.193048656,1.878280772,0.140225137,0.966165084,Rock,1.970591013,7.632996463,88.58282351,2.607129094,117.9191429,24,Masonry,Shallow,0.439041358,8.051216963,431759.7217,4546.743806,29619.52359,Shear Wall,1.169244078,1.406296174,449.254894,4.85583541,0.961910585,96.19105849
Low,1.173121069,1.377276306,0.203079325,1.027774456,Sand,1.861183659,5.42733201,62.00620091,9.56065166,50.22071874,40,Steel,Shallow,1.067010446,9.772632497,941916.7876,2306.692287,22979.18795,Shear Wall,0.343191217,1.534683453,262.0630687,2.035786329,0.421930631,42.19306307
High,0.917199023,1.014428107,0.499397675,0.711020506,Clay,2.346306177,6.485533511,43.44378903,0.383448819,14.10607449,9,Composite,Deep,3.308037236,6.260693639,626965.4864,2604.152388,11947.93852,Shear Wall,2.509692913,0.635943544,1440.053903,4.515824963,0.76493924,76.49392397
Very High,1.194743968,1.638382569,0.028428187,0.238505626,Sand,0.94962251,4.79250355,19.05118317,2.077309973,189.3117731,13,Concrete,Pile,0.854555138,5.014335949,200469.7981,4708.880081,16173.8398,Shear Wall,2.396316605,0.46321044,4856.052953,4.858741668,0.116520747,11.65207473
